Metric	Value
52WeekChange	29.821074
allTimeHigh	15.84
allTimeLow	0.398
ask	0.0
askSize	0
averageDailyVolume10Day	0
averageDailyVolume3Month	0
averageVolume	0
averageVolume10days	0
bid	0.0
bidSize	0
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	LOW
dayHigh	4.41
dayLow	4.378
esgPopulated	False
exchange	CGI
exchangeDataDelayedBy	0
exchangeTimezoneName	America/Chicago
exchangeTimezoneShortName	CDT
fiftyDayAverage	4.37796
fiftyDayAverageChange	0.032039642
fiftyDayAverageChangePercent	0.007318395
fiftyTwoWeekChangePercent	29.821074
fiftyTwoWeekHigh	4.997
fiftyTwoWeekHighChange	-0.58700037
fiftyTwoWeekHighChangePercent	-0.11747055
fiftyTwoWeekLow	3.345
fiftyTwoWeekLowChange	1.0649998
fiftyTwoWeekLowChangePercent	0.3183856
fiftyTwoWeekRange	3.345 - 4.997
firstTradeDateMilliseconds	-252326400000
fullExchangeName	Cboe Indices
gmtOffSetMilliseconds	-18000000
hasPrePostMarketData	False
language	en-US
longName	CBOE Interest Rate 10 Year T No
market	usir_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_INDEXTNX
open	4.3919997
previousClose	4.364
priceHint	4
quoteType	INDEX
region	US
regularMarketChange	0.046000004
regularMarketChangePercent	1.0540789
regularMarketDayHigh	4.41
regularMarketDayLow	4.378
regularMarketDayRange	4.378 - 4.41
regularMarketOpen	4.3919997
regularMarketPreviousClose	4.364
regularMarketPrice	4.41
regularMarketTime	1778525992
regularMarketVolume	0
shortName	CBOE Interest Rate 10 Year T No
sourceInterval	15
symbol	^TNX
tradeable	False
trailingPegRatio	None
triggerable	False
twoHundredDayAverage	4.307575
twoHundredDayAverageChange	0.10242462
twoHundredDayAverageChangePercent	0.02377779
typeDisp	Index
volume	0
