Metric	Value
52WeekChange	12.802553
allTimeHigh	89.53
allTimeLow	8.56
ask	0.0
askSize	0
averageDailyVolume10Day	0
averageDailyVolume3Month	0
averageVolume	0
averageVolume10days	0
bid	0.0
bidSize	0
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	LOW
dayHigh	16.29
dayLow	15.38
esgPopulated	False
exchange	CXI
exchangeDataDelayedBy	0
exchangeTimezoneName	America/Chicago
exchangeTimezoneShortName	CDT
fiftyDayAverage	16.1864
fiftyDayAverageChange	-0.7463999
fiftyDayAverageChangePercent	-0.04611278
fiftyTwoWeekChangePercent	12.802553
fiftyTwoWeekHigh	35.3
fiftyTwoWeekHighChange	-19.86
fiftyTwoWeekHighChangePercent	-0.5626063
fiftyTwoWeekLow	13.38
fiftyTwoWeekLowChange	2.0599995
fiftyTwoWeekLowChangePercent	0.15396109
fiftyTwoWeekRange	13.38 - 35.3
firstTradeDateMilliseconds	631267200000
fullExchangeName	Cboe Indices
fulldayChange	-2.2699995
fulldayChangePercent	-12.8176155
fulldayPrice	15.44
gmtOffSetMilliseconds	-18000000
hasPrePostMarketData	False
language	en-US
longName	CBOE Volatility Index
market	cboe_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_INDEXVIX
open	16.03
previousClose	17.2
priceHint	2
quoteSourceName	Delayed Quote
quoteType	INDEX
region	US
regularMarketChange	-2.2699995
regularMarketChangePercent	-12.8176155
regularMarketDayHigh	16.29
regularMarketDayLow	15.38
regularMarketDayRange	15.38 - 16.29
regularMarketOpen	16.03
regularMarketPreviousClose	17.2
regularMarketPrice	15.44
regularMarketTime	1789676101
regularMarketVolume	0
shortName	CBOE Volatility Index
sourceInterval	15
symbol	^VIX
tradeable	False
trailingPegRatio	None
triggerable	False
twoHundredDayAverage	18.1014
twoHundredDayAverageChange	-2.6614008
twoHundredDayAverageChangePercent	-0.14702734
typeDisp	Index
volume	0
