Date	Source	Sentiment	Headline	Summary	URL
2026-02-25	Google	0.2	AG Tong issues legal guidance on how Connecticut laws apply to AI - Hartford Business Journal		https://news.google.com/rss/articles/CBMipgFBVV95cUxQcnJKc0ZNMGJjaUlKRlQzLUFyQWZ1SndvQXJHazdaeXc0SDlRaGJnWEVUWEI4SEJ6dlVKMFJ2bWNOcjFIYnRoTjRnVWpwTktMUkFPazJDRThBam9BMFR1T2lxbk1KcU5SSDVvV3NndklEVTBfX0pleXdXWG9jYU1Xc05pOTIyTXBmQ1A2Qm90T3diQVNVMUpEN1FLOGNTc3owZXpwMzdn?oc=5
2026-02-25	Google	0.2	Mattel Warns of Rising Business Risks as It Integrates AI Amid Evolving Regulatory and Ethical Standards - TipRanks		https://news.google.com/rss/articles/CBMi7AFBVV95cUxOMm9zNnY0R3ZURTVzNldsblh0LURnNmM0dWI4QXNrX2M4RUEzd2k0TlZBQnVZZktYX0xCRFVfdWdxdFYxLWhzbU5sX0lhTHRyeHhHMlFzT0gtZUtnc3YxdWw2RGNFM1dlZVBhTG5zZnJ5eFFTNlR3cFBwLWF6UXkzOWlvRHAxTE5oOWNXZnVEcEFQN1N4MjhUNTdGRTUwR3hrMHhvdDhxOW1pNGl2Z0h6eEwwX2NDNF9IR19XTm9yLWxueUk3dFhNdXhVUnBYVmdKM1pkUHJLdkVYdnpsZVlqRUd1bXVfVUZ4RjlpUg?oc=5
2026-02-25	Google	0.183	‘A Different Set of Rules’: Thermal Drone Footage Shows Musk's AI Power Plant Flouting Clean Air Regulations - edhat		https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbV94RkJxbXZqS3kxMV9TUF9tVzBFWnRlMXhnRklnWHdpMHVDSS1nRC1IeWNfNWhlNWlpMkxpYXJiS2VpTy04dWkxOTdyTF9nWGpFZ3VEVnBBcmN6TGRneE1DM1hudXRoa0NTVnh3d3kybE0wemt6QjU4UXpIV0hGQ0EwMldINVZxZkxrNS1NbDhmWE5MN3dKQzVQMzZtNlRFSnVZTmpMcEsybFl6SlQ2TFlsZXBzcDJxZGFCY25jbDZjVlFSZUVNMXk5Q0IzZW9wWXIwMjJ4OG0?oc=5
2026-02-25	Google	0.136	Employers: Ensure You Are Compliant with California’s New AI Anti-Discrimination Rules Under the FEHA - Hinshaw & Culbertson LLP		https://news.google.com/rss/articles/CBMi_AFBVV95cUxPTEZ3dlF1RUpVWjJFU0c0VGVQMVNWOVFQYnhTMzhoM0J2UU01WlhWTlZYUmVFekV5X3d4Z1lIX2pSTlFKV3p0X1I2aEw4RER5Y002dnQzbVNyQWVud0xIdGlSTEdObXowbi05RWFQME9aQXoweVNBZlpMUHZfVlN2aXQxa1NRdVRNYUJyVjFmaXp2YWV4MjYzYzZ1aW9aeVA3enkwX1REZWZrS1pNZE94OU91UXJrbGJMOGN5ZE9xdTR5dmg3YlNROUVIdzNLQWxlTnlWYlBtREdBZi1wbUhEM0NoR0FEQlNqbU52WXJxYXBveDlQWXVEY2pTTnM?oc=5
2026-02-25	Google	0.1	Swedish PTS urges long-term funding and clear mandate for implementing EU AI Regulation - Telecompaper		https://news.google.com/rss/articles/CBMiygFBVV95cUxNTDhvdmgzQVZwY19KaHRObGtZSTZxYWxZUXdIWkh0RXA2NWNYX1BsblpWUURHMTNTVVIzSzdOS2VfV0VsQUZTbTlqWk1QYzdhSVpnOXA3YXViN2ZVcWtUWm9pRlJKUTRQSEc0N1pnNFR3UW9CeUx3cG02dTJ1X1lRdEVTc3lNa1RNdmtXRjE0aV9NdlA3WmYtVkhOcVpWM21nalhLbFd4M2d4bTNGZ1ludjlmSER1N1BTbERpaU12WWlPZGMxb3VQMUpB?oc=5
2026-02-25	Google	0.079	Staying Ahead of Packaging and Plastics Regulations with AI-Driven Capabilities: New Updates to SAP Responsible Design and Production - SAP News Center		https://news.google.com/rss/articles/CBMitAFBVV95cUxOOHFNVVlWYkdZOVotLXh0S2FlX0ZPUGphby02c3lJb2V3Y0FZaTFDejliVnI0TGRaM09hQUFLU2NFNlFLNS0wWTZzcHFOWlJfTDVsOUFaeHU2TlV2RTJxbjhtSnNrbFhvRUlTWFZyZkxaSGpTN01NWFp1aThXeHRCa3F3Q0VBTGhQdW5BVjJNV3NrUW1iT2M0RGxPT0dGNDBmNlF0V2xwcy1vcnV4LXB4S0ZjV1E?oc=5
2026-02-25	Google	0.0	As technology accelerates, preparedness lags - OMFIF		https://news.google.com/rss/articles/CBMif0FVX3lxTFBBOTdpdHh1c1k4R21FSFUxTk9lc2M2RWtYMG5ZcjJjVnZwakdpU0Q5LUdtUW5CT2p6U2QzTEhsYmZETThlcHdFS0JiUEpuN3gtc3g2YVVseGVhdnd6ZUp2WmtzNnIyTW85OE55R2JFZ0x1WXFuRlQ2cFFxdDU1R3M?oc=5
2026-02-25	Google	0.0	Datamaran Launches Regulatory Monitoring Solution to Help Companies Navigate ESG Complexity - AiThority		https://news.google.com/rss/articles/CBMiywFBVV95cUxPU0V0VldkTFJ4VHZZcUc3cE1GdTlIa3k5MDJWQjdGYWJRNnZzdmV5Q2VnTHhBVXdTcnp2NlhWc2pGdzgtVFUteVFQM1lPdU0wV0hnTlVwbjBqWUJkeGV0OXlZbl9fcnNJUWYyXzduYS1XZjVrdGhHNXF0eDJYaWJZWWZRc25la01ZLUxpMGk4WjNhWlJtd0RhQTlobDNZbC1rVVNGMTJnTFVDSDEyV1M3UTk3dlZONXlRdHNKVUFjTnNWT2JRYlVGajNXRQ?oc=5
2026-02-25	Google	0.0	Exclusive: US orders diplomats to fight data sovereignty initiatives - Reuters		https://news.google.com/rss/articles/CBMiygFBVV95cUxNRnNNNlNrWjh6LUVvYlpnTEcxT2tBU0Vtc2w5enZIS3RmZ1Zhc0E0R1F3el9kbFVUakhOTTd1LV9rNWczc2pnRTVYWDU1TC12dmVTa1Qzbll5MlNvUFNsLWtYYUtrWUdKal91OUw3ODFHT1RBS3ZHb3BBUkZYMllFVnN0MlR1SE1yTDMxdzB3cldPR0wwSTI4TkE1bVRsWHFzOHVZN2V1WmVPUHlqUGt6aUs5dXRvN0J2aFFXOEp6b1U5TF9rTlItNlB3?oc=5
2026-02-25	Google	0.0	Markets AM Need to Know: AI power regulation, Bill Gates apologizes to foundation staff, and others - Seeking Alpha		https://news.google.com/rss/articles/CBMizwFBVV95cUxNZnBNY0c3eXE2Q0VGM1dEcl8wMEtHY1ZvQ18tXzQ0eEdaOVZCbE0tbmFtaE55WEE2N2tiUG0wYk03NzFEU3NtZ0pmUE1uOVFkODdOcHRFSHVWNGJIY3AxLWRtUS1vb1BTVDZ2bHhIM3hWOHdEQWUyYmZDVmhXM01odmpSbkhZTVZkd3R3QXFJeEVidTZNc0FJRmJpaXF4WFNoS3A3RlZQM05Cc1VhWmFzNjNhTGEwTEtFaWxnNXZCVjNMVmRmVzJHUmlfZ0x6ZFE?oc=5
