Date	Source	Sentiment	Headline	Summary	URL
2026-03-17	Google	0.6	'Huge win for South Station': JPMorgan lease gives Boston a boost - The Business Journals		https://news.google.com/rss/articles/CBMiogFBVV95cUxQMDQwdUZUS0xLeE1wUE1TLW5HSXJSWmF0YXpsZmVGZ2daQjJuX25sS192OEdpQ2NvQjNqdmREMUxlVW51NmRQd3g5RzRsV21EN2Zjb2xUT19zRXBSaDZ2cXF5MXhhR193N1JFby0wQkxISS1YbE52YzFHaGhuMko5aldrNjR3cDhCcXk1UWhTT2IyakFzUm95dDBrT3lTamVCTnc?oc=5
2026-03-17	Google	0.5	Crexi Announces 2026 Platinum Award Winners, Honoring Over 1,000 Top Users Across Platform - PR Newswire		https://news.google.com/rss/articles/CBMi3gFBVV95cUxQSl8zTlR6cnZ3V3dnOXRZM1llSkNGNzU0RzJyeXRNeFFJclNySnN3N0x3OVpjNEZrUWdHQjRIX0g1UjAxNVFrOTlYNWQ5X0NYQzUyeHVtNGNWNW42LXRTekgtX2FpLUJzSGd0VWl3VVNSaVZ6V094OGtxeEdONHpKVWJoOUlEU3JmOVI5ZFhucnhubzh2S1VVTnpzaXNpTGxaMnlIRVo2bDdhZGY0cG1ZN2U1cmNnYUpWTDZLY3ZPclA5NjlHRFg3UVFDSm5pU1J2M3VtZXBfaWI2VmRCM2c?oc=5
2026-03-17	Google	0.267	6 Things to Know About Investing in Commercial Real Estate - The Motley Fool		https://news.google.com/rss/articles/CBMipwFBVV95cUxOSWhnZmJkWFZLb0lNWDQ5ckcwUHc0SEI4Y2dENFI4YzBEWHZTbE51YXg0NGFvYkkyUVlBbjZwMFlZQUlXdVo2TnJHUXN6UDZLYUZTRVl0NERnQmkycmlOWVNHMlNQU1A2Q0VWdHc2V1pNeWVMa1ZkLTRmUml4eWczdG9FYThiZHV1N19DWVFQel9XTDlCdzNOZnBSWDkzMUk2MU10eEtEYw?oc=5
2026-03-17	Google	0.25	Crane Watch: More than $2B in development projects added in recent months - The Business Journals		https://news.google.com/rss/articles/CBMioAFBVV95cUxQa3ktWEFULXZramVSdE5ETlhLUWdMQ3pKTC10dnkyNVA5QmdUQWJZWnpmLVdqekVWNlN6QVdpV0ZtMlJXNkgtX29JdF9CcWdPRmt5MDA5X25Ia2dvdHY2amcxclVfV0xBU3FxNFlITlVOeUdOWDhqS0JhbkpvYmo1dldzSjVPZF9WSGJGVldzZDEyNkw5bklRdmNlUWpFQzFB?oc=5
2026-03-17	Google	0.25	Memphis industrial market among top in U.S.; Brookhaven Pub to expand - The Commercial Appeal		https://news.google.com/rss/articles/CBMi1gFBVV95cUxPMnRnTWNhMlB6TU50VUZiSGQxQjctOHBOaWxBQkxqdHRwM3B3QV9KRXRsZWRubjRnVkdlMzBPVDlnbnVwb2lOTHFFWmUzVWFDc1VaSXlIUmpwSDRRbmE4RE16NEdCVW5QNVdqbGFOY3plRGpDOWZVWnVaMnFwZnNmUGR6UjM5VVNiaE9YQmNCVkhHT0s0V3Nvdk1fNEIxWjB6RmtlSm1MSmVwRHpZVVFuUUdGQ20zM1cyZEJ0RU5mSTZIWUxsbXA0M2Y1MUNhel9PX0ZTQnVR?oc=5
2026-03-17	Google	0.193	New Chipotle property sold for $5M in hot North Carolina town - The Business Journals		https://news.google.com/rss/articles/CBMiqAFBVV95cUxPdmhWMWViWDNtbHZ4UmE4NVMzZkZxbF94MHVNdmw5VXZnaGVMNEZwTDdsZjdUU1p0cHNUMEdPLWl0bEYzQ0JEXzhtVG95ZEZHdXJHQXVOeDhQVzd1RHI3RUlXVWhJTGo4TGpWc01fRl9rUU8zbWh5a2hKdnhIRzdPVHRERXBhTXluSW1GMTZOc1JaREkzQjZ2dXVsckszVnQ4bzUyeVBSdFY?oc=5
2026-03-17	Google	0.162	Six buildings housing city early education programs list for first time in decades - Crain's New York Business		https://news.google.com/rss/articles/CBMipwFBVV95cUxOVGw2RU9kMmx6MWxjVHM1Y21jUTNJR3I2eWhYSmdjX01VYV8xZUtPTmJ3Y2FLbmJwVk1HSzh2Q285RFV2cUhUeTlnemVGQXV6TGVmRjhheHdGalotZUx4MTVXX0ctNGRlQ2p4Mk1TRGNaWTBCdDlzQXQtZk1HVnFFRnZISHQzZDRXWmNwOFg3bjltbnB0dnpOem1NYnE5Z2FrMmJjQk5OVQ?oc=5
2026-03-17	Google	0.136	Developer secures $46M loan for new Northeast Philadelphia warehouse - The Business Journals		https://news.google.com/rss/articles/CBMipgFBVV95cUxNUXB4Q3VaVVE1T3E1blZWZ0Uxb3VzYmVycEs3R3l1V2hBSXJJUmN2UlE2Nm9YYUpMTHRmQm1lZ0pMaURrWWtIZ2FIaEZNVVRTWTc4RFEtT2xLQU1zVEZKdmJURlNzNnMtQnBNNzNIeUp4MnFZdnJnMXZHLXFOZ2VtdXJSZzRUSDNIaktDcEYzTXBvNVl3Nk5SYnRKUnNvcEh6NGVwTXhB?oc=5
2026-03-17	Google	0.133	'Confidence gaps are real; opportunity gaps are too': Progress on the path to gender equity in commercial real estate - CoStar		https://news.google.com/rss/articles/CBMi6gFBVV95cUxOZGVFdkMxUVZPQ2QzNDR2SUVoTjNGOHJoS2hFX2dWLXQzYnVJdFltTzlUNlVmeElYLUZZN1UxaHhNdGNVZzZpYnRNSjQ1WUZmNTQ2aElNR2VCS3p3LXZDd0FhRVM2VkY2Z2lQRkcxMmx6bHc2LUpJcm5CZm5yN2tPRFJPYmZGRE00YUEyaUJxU2tQS1NZSHFUNlg2SWhZS05DUS1RT0ktRU1HZUtUODhiWUt3VDFRY1NFNWJWalh1MmJldHU4RG1tekNZNHRPc0ZhTFNpUTM2c05oWFVuYkowZ1JDOEc1V0kyd2c?oc=5
2026-03-17	Google	0.112	Spencer Savings Bank Welcomes New Vice President, Commercial Real Estate Client Manager - Parsippany Focus		https://news.google.com/rss/articles/CBMixAFBVV95cUxPUEE3bzR3LVJ5UUladmp0YWFYLThDSV9JcGlqR0JGUUxXZFlYUlJMNGNZcWdWa3pOdldXaFdfdEsyVnpaWmNaRExZVFVzbFp4LWVMUF9vOHdiQmNuM0JyNXBUc0RWQ2I2cDhfYWk0M2dVMHhGMGJmVzVmZW1wTFRkUWp6blJPUXlnMTduTDZlaFZLd1VSRG5LVncwUWM2N0Z0XzVCMUFiYmtGZTJFc2F4Vi12RzRxTTluNUk1NWVBQkJCZWYx?oc=5
2026-03-17	Google	0.1	Benefit Street Partners Prices $1.1 Billion Commercial Real Estate CLO - TipRanks		https://news.google.com/rss/articles/CBMiuAFBVV95cUxNQVVWdmhNMm5Ca285Z080MVh6VWNPLWF2M0pTSGtEQWEyb2IxdGRuTk92eTFkZUVRWkk3Qjd1Q2ljYlVUZDVoRzdLR0ZGQzVDcjl2UF81ZFBzbl9FSEo0aFdpdkNBSm5XSjNCdkZKOTBkWWhBOGx6VENmV0R1Qy16cjlQeENjd0h0WTdpeC1TVm1DQ2VuTmhuSFBrOHlRd05oZ2h4V0g2R2p0OHV2VDlaR2JYOVk0a3ZZ?oc=5
2026-03-17	Google	0.1	Nickolas Oar Named Bay Area Commercial Real Estate Rising Star by The Registry - Yahoo Finance Singapore		https://news.google.com/rss/articles/CBMiggFBVV95cUxNQlg4ZFR5MzBNeWVmMGUzVTU3REhMcjVXZ25uRzgzTzd3ek5wS0pDUDA5a0tENmpkelNaREdnSzJ3Sm1NcXFrakxxb0xMZjJZYkFJZXpGOExHY0p6MXpZQ2hrbDBVTURsTHJtTVpMa0ZFcy1HalBDTldkaWpxdG12Z09R?oc=5
2026-03-17	Google	0.1	PetScreening Named 2026 Commercial Real Estate Technology Influencer by GlobeSt. - PR Newswire		https://news.google.com/rss/articles/CBMi0AFBVV95cUxOQXVSTFA2ZWJsaWs1YkY3dkw1QVRpckR5ZUxwOG9BaU00VHBQY0dUUTRiSkczVXVqLWRNaGljTGhwTHdZXzZGbjN2WXN4OEtyVWMxTWh4REhXRnhROFBYV3RhUnVfUG15TE1SQkt2NFRmcTYxcjhXd05UdnNVR1A4cmxUMHoyOXhndTdBcnZZZzctLXNIbmV5Q09aX2JDWjQ2QWd6S1V6RHhoc1NsMl9ZX2ljalBlWU9ZeGItN1RfZU1jVHFBYjJlN2NDY3dWZjNT?oc=5
2026-03-17	Google	0.1	Skokie OKs modifications to Old Orchard Towers development plan - Chicago Tribune		https://news.google.com/rss/articles/CBMijwFBVV95cUxPOUdUa0hQdVprelI4UkNFLTRndDBESHgxbC16a1JRMVdXUGNRV0ZrQW5XMVpYbkNpX19Ub2RLVjJDZW0zdFRLUm94M2YtVWdsUHNTNElyVFQxVlBFWU1kbkFtcXNpRURibUNiNGRNLUozMWpYVmswWmphRS03ZHNNSDJvQ2NNcXNmSTVtWHQtRQ?oc=5
2026-03-17	Google	0.1	Spencer Savings Bank adds Coppola to commercial real estate team as client manager - ROI-NJ		https://news.google.com/rss/articles/CBMiwwFBVV95cUxNY0stRmY1Rjg1T1ZBd2tCQ0xxeGcwLVNmbTRnalo5eG1CdjdjWnhfSDQ3emdTWlJya01QLW1QWk1lRXdGZURSRUo3MFFvTFBzU3F6LXd4dkNfalQxX3NlcmpybWdDOUVhNFhjN0FPcjNaRFhLTUNVbW14VzRldjdERGFEa1dzSGhYWU9FTzlTVGY2a1EtT2xuYnFaRGNVUGZveV9vb185dkphWEFCTmdodWRnVU92UUo1OEQ4VzNvaV9oMnM?oc=5
2026-03-17	Google	0.068	Live Oak, Future of Cities partner to advance Phoenix Arts & Entertainment District - The Business Journals		https://news.google.com/rss/articles/CBMimAFBVV95cUxQSTRqb1ZoeEIxUzc5VU1TNU9abXlWOEdKekJ5S3BHemEzaXVnWk93ZWVoR1p3MnBQOHBEU2xmZ0NuZGY5bk16YTU0ZGFnVlJiRHV2M3otQzItNkY4cWV0TkdnMzAtT2JudTR2SmFaNmJyNjZmS3lDQm12Z1NvZk5CTTN1WFdnZnhjSVh1NklTUGRxdUI5ZThrbQ?oc=5
2026-03-17	Google	0.067	Commercial Real Estate Market Is Going to Boom Rapidly | Cushman & Wakefield • Colliers International • Savills - openPR.com		https://news.google.com/rss/articles/CBMinwFBVV95cUxPc2c3cGxLTVlWM3Y3eWVYQVZVdGx3UG55U2p5dUt0ZVRQaTM5VkZadDNEa3p3XzZqUDFrMkp3RlowUnh0MjF0eFNjQXcwc1g4R3dhaXFpeGVIQmtaSmgtMnc2OFhIU0RueWVuSXYyY3kxVEU3cG9UZFZFNFFGSU1ManNJMGVmbGEySmtDUk55UENxZXBjbU9JTHVmMzZSVlE?oc=5
