Date	Sentiment_Daily	News_Volume
2025-07-14	0.0000	1
2025-10-06	0.0000	1
2025-10-28	0.0000	1
2025-11-14	0.0000	1
2025-11-24	0.0000	1
2025-12-05	0.1360	1
2025-12-10	0.0000	1
2025-12-11	0.1020	1
2025-12-15	0.0000	1
2026-01-06	0.0000	1
2026-01-29	0.0000	1
2026-01-30	-0.1600	1
2026-02-02	0.4800	1
2026-02-07	0.0000	1
2026-02-10	0.0000	1
2026-02-12	0.0125	4
2026-02-13	0.0910	1
2026-02-15	0.1600	2
2026-02-16	0.0000	4
2026-02-17	-0.0783	19
2026-02-18	0.1019	18
2026-02-19	0.0447	21
2026-02-20	0.0399	33
2026-02-21	0.3330	1
2026-02-22	0.1111	8
2026-02-23	0.0528	56
2026-02-24	0.0000	6
2026-02-25	0.0500	6
2026-02-26	0.0000	1
2026-02-27	-0.0200	5
2026-02-28	0.0000	1
2026-03-01	0.0594	8
2026-03-02	0.0406	58
2026-03-03	0.0000	2
2026-03-04	0.0537	49
2026-03-05	0.0434	45
2026-03-06	0.0000	1
2026-03-07	0.0000	1
2026-03-08	0.0451	11
2026-03-09	0.0127	50
2026-03-10	0.1453	3
2026-03-11	0.0300	45
2026-03-12	0.0533	3
2026-03-13	-0.2500	1
2026-03-14	0.0538	13
2026-03-15	0.2237	9
2026-03-16	0.0634	50
2026-03-17	-0.0100	10
2026-03-18	0.0800	2
2026-03-19	0.0000	2
2026-03-20	0.0103	6
2026-03-21	0.1750	4
2026-03-22	-0.1000	1
2026-03-23	0.0191	43
2026-03-24	0.0082	4
2026-03-25	0.0370	4
2026-03-26	0.0136	5
2026-03-27	0.0750	2
2026-03-28	0.1588	6
2026-03-29	0.0698	19
2026-03-30	0.1085	2
2026-03-31	0.0441	52
2026-04-01	0.0114	50
2026-04-02	0.0334	8
2026-04-03	0.0267	12
2026-04-04	0.1450	6
2026-04-05	0.1122	11
2026-04-06	0.0450	44
2026-04-07	0.0757	47
2026-04-08	0.0206	73
2026-04-09	0.0416	47
2026-04-10	0.0000	1
2026-04-11	-0.0500	4
2026-04-12	0.0094	7
2026-04-13	0.0927	34
2026-04-14	0.0217	44
2026-04-15	0.0560	46
2026-04-16	0.0690	46
2026-04-17	-0.0138	5
2026-04-18	0.1136	5
2026-04-19	0.2175	11
2026-04-20	0.0546	37
2026-04-21	0.0000	2
2026-04-22	0.0544	17
2026-04-23	0.0420	53
2026-04-24	0.0000	1
2026-04-25	0.0540	4
2026-04-26	-0.0182	11
2026-04-27	0.0728	11
2026-04-28	0.1051	51
2026-04-29	0.0000	1
2026-04-30	0.0800	4
2026-05-01	0.0615	13
2026-05-02	0.1476	7
2026-05-03	0.0500	6
2026-05-04	0.0392	64
2026-05-05	0.0734	26
2026-05-06	0.0654	49
2026-05-07	0.0527	43
2026-05-08	0.0686	10
2026-05-09	-0.0721	9
2026-05-10	0.0250	8
2026-05-11	0.0382	54
2026-05-12	-0.0543	4
2026-05-13	0.0456	29
2026-05-14	0.0220	51
2026-05-15	0.0295	4
2026-05-16	-0.0375	6
2026-05-17	-0.1280	4
2026-05-18	0.0660	23
2026-05-19	0.0395	53
2026-05-20	0.0800	2
2026-05-21	0.0000	2
2026-05-22	-0.0223	3
