Date	Sentiment_Daily	News_Volume
2025-08-22	0.0000	1
2025-12-22	0.0000	1
2026-01-13	-0.0830	1
2026-01-16	-0.0250	1
2026-01-20	0.1250	1
2026-01-22	0.0000	1
2026-01-23	0.0000	1
2026-01-27	0.0000	1
2026-01-30	0.0000	1
2026-02-02	0.0000	1
2026-02-04	0.0000	1
2026-02-05	0.0000	1
2026-02-06	0.1360	1
2026-02-12	0.0000	1
2026-02-13	0.0305	6
2026-02-14	0.1710	1
2026-02-16	0.0000	1
2026-02-17	0.0000	5
2026-02-18	-0.0337	12
2026-02-19	0.0209	9
2026-02-20	0.0759	65
2026-02-21	-0.0138	4
2026-02-22	0.0284	9
2026-02-23	0.0916	39
2026-02-24	-0.0500	8
2026-02-25	0.1032	22
2026-02-26	0.0000	1
2026-02-27	0.0436	7
2026-02-28	0.0000	2
2026-03-01	0.0000	1
2026-03-02	0.0576	64
2026-03-03	-0.0843	12
2026-03-04	0.2500	2
2026-03-05	0.0480	49
2026-03-06	0.0418	4
2026-03-07	0.0208	6
2026-03-08	0.0450	4
2026-03-09	0.0273	87
2026-03-10	0.0429	7
2026-03-11	0.0620	1
2026-03-12	0.0434	8
2026-03-13	0.0000	2
2026-03-14	0.0000	1
2026-03-15	0.1335	2
2026-03-16	0.0386	81
2026-03-17	0.0266	18
2026-03-18	-0.0090	3
2026-03-19	0.0117	18
2026-03-20	0.0035	50
2026-03-21	-0.0155	4
2026-03-22	0.1600	4
2026-03-23	0.0402	71
2026-03-24	0.0842	9
2026-03-25	0.0444	16
2026-03-26	0.0100	5
2026-03-27	0.0227	6
2026-03-28	0.0500	2
2026-03-29	-0.0173	15
2026-03-30	0.1854	5
2026-03-31	0.0085	72
2026-04-01	0.0600	38
2026-04-02	0.0065	25
2026-04-03	0.1207	3
2026-04-04	0.0000	1
2026-04-05	0.0834	5
2026-04-06	0.0643	65
2026-04-07	0.0000	1
2026-04-08	0.0523	60
2026-04-09	0.0786	72
2026-04-10	0.1115	15
2026-04-11	-0.0114	10
2026-04-13	-0.0170	9
2026-04-14	0.0431	70
2026-04-15	0.0564	42
2026-04-16	0.0425	59
2026-04-17	-0.0375	4
2026-04-18	-0.0687	3
