Date	Source	Sentiment	Headline	Summary	URL
2026-02-25	Google	0.5	Supply chain and logistics top risk for business leaders: Sentry - businessinsurance.com		https://news.google.com/rss/articles/CBMinwFBVV95cUxQaTlXVzdIQTM3UGdOM1VWb2xDaHl1OThNcG1EcmVFRzB4Z2ZSVVI4ei1PWmkyTjJiSmtzS0tUeGMwWVd1VXZxNjlnTVJGcjVBSlJXdERnOXEycHRMU1RrYmRQUWdQTGVQaGNOOFo1c2ZLbE9XRmVDQ2ljLUZhM1pxejc4US1SUWlSZmNWcUJJd1d0SlVwNFBzMXdzeF9DNmM?oc=5
2026-02-25	Google	0.433	CTI Logistics Profit Jumps on Strong Freight Demand and Property Strength - TipRanks		https://news.google.com/rss/articles/CBMiwwFBVV95cUxOc1ItLVhaMks3MHNWV19KYjlYdGt1OEdORTMwV0VpazBlTHhaWGNpeVhrTTF0OHZIbzNMS2VDZXNjS2ZfNlVWTVVIX0tfV3N3emxkdE5TS1NyVUg4VGFHNVFwNkR4WXh3dTVMX3pwekxjWEVtUk9waG9VcDRTZUtmbnoyNWZNWGs3bmRHZnFWbzhVWEJNOV9kOG4zaU8ybXFZQjlmcE5USGQ2Vk0xT2VDV3QyNmNNRzBiWUlUdFpFVUdHbGc?oc=5
2026-02-25	Google	0.3	Enabling Smarter Government Logistics for Mission Success - Inbound Logistics		https://news.google.com/rss/articles/CBMihwFBVV95cUxOaUV6NDcwTEhFazc4ek82YUpvY0FGZEJrTXBLNG9RWnpVTEhBeTdJME5CTUpMUzVpejNBVXU0eC1ISzl2NXhneHM2bV95cTcwNlFzcWFjVmRzMXg0b3pJYm9UYVF6UzFKTVNnSWUyMDNrQVFnYU5xVl95VU5wSXpUSUdndDZlQ3M?oc=5
2026-02-25	Google	0.275	Stockbridge fund takes full control of $900m US logistics portfolio - IPE Real Assets		https://news.google.com/rss/articles/CBMitgFBVV95cUxPUFctdkNjWkFhSTFPY0YxaGNXa3dxekdzWU1rd040MmNENnRjc1U1Y082NkZibFdnU3FfeUs0X0N4TGJhUU9JVzVEUElkU3dFNDdkMEVBYWVDNnoxbnRKNXF3SkhDM1VVX0xlR0tfX3RKX0JYaUNWMF9CUTJBTENPNTdzdFptdW56TWdNZ3NuQ2RLOHZkdzF1Vl9OeHFXRk5XbXJBdlBHYm1xQ1RiSU1kaUw5TkJvZw?oc=5
2026-02-25	Google	0.2	Forward and Ready: Fort Buchanan’s SSMO Drives Regional Sustainment - army.mil		https://news.google.com/rss/articles/CBMiowFBVV95cUxQSGlsT2FZX1FsbVd5NERNSTdpS3BhaXpmcmhMYzg1dVhRS2pRdTFLaEYxRkFwUDd1VEgxckh1QVd6MHJ0N1lUcnlhbF8zWVF5UVExZ2xzRndPX05ZSWNNZGVIcm1TOFFFZWVyNkUxMU8ybmZCalI1djNITnFaMUU0YzhBb2cxX2VDd1RTeTI4Z3hfZElhb0JaaXJEUy1BSElUQTdz0gGoAUFVX3lxTE9IUFo0ZGlGQ0I4NWJPTk5ING9ldlVTeExKUldXQlAxR3ZwaUN4LXFCbE1TRjVzUnpJblJHZ2cwbXVUQU8tUGR3cl9oZUYtb01fN3d4cXVTRzE4dWU3MjNzYVRPN3hhUzBUU1BZS1RRN3JJc1U2di1PX3p2ajZUZGdmd2pzQ0IyTDBMUGRvNk1UQVRFSDJYTF9Dam8yNWcxd3l3QmxsTUthaA?oc=5
2026-02-25	Google	0.136	FMV Signs Contract for New Logistic Support Vessels for Swedish Navy - navalnews.com		https://news.google.com/rss/articles/CBMitAFBVV95cUxOX3NyVEhwV3lxanEtdjBXV0M1MUhzQ2FUWkpLVE5xcENIT1FBQnVwak9Sa2NlN09yQ0cyejZoMjRzaExsVEUxUENEYTNJWWJEaEE1WHFzUHRzM2ZJMkloQjVTMENZRUNtY3I0dG9wdEVRaER0SmREeXRRRXM0Yk5Jc085V0pVcU1lRkJWUzVQX2k3SU9PUW1Dc2s0ellfeDVIOVpaem8xMTUxX0NSWk44U0JKQ0Y?oc=5
2026-02-25	Google	0.136	Kale Logistics Solutions Launches New Cross-Border E-commerce Parcel Visibility Platform for Airlines - The Loadstar		https://news.google.com/rss/articles/CBMi2wFBVV95cUxOV0FOSGxGTF85dDFRU2c4NkZ5aXpTa3AtVzVsdllpQnNUblFRSDJKRUdOeGo3Yk5TZGVqZk5VSnlKWTFtU2N6VjI2SUFyRUFEQlhTeURCeFJ3dVVEU3BLandyOFFSaW1KTmhoN0FmNFJ2cDhneWhUY0FCLXY0REI1Ym93cERNN0VYNEhHN05nTnRvR1VVM1pSdWVhdmg0QW1sMEpxekhOYWNRUm4yQXpiOTViRVJPVXNYTDFpREVCenhWc2x0X1dpNDBIWjRlSGJhaGM4a0VRRDZSZDg?oc=5
2026-02-25	Google	0.136	Mitsui signs partnership deal with ACI Logistics - New Age BD		https://news.google.com/rss/articles/CBMikwFBVV95cUxPelBwNWliU3FXMnVVSk5rNnZmaXVyWXZhREszbFBhOXRrRU1CWFZ5eElnWElNUmpGdl9nczhtbm1HOVkxQjgzRHVEMzd2Mm94NlFSMEh4VmFJMjlYX19zX050a2pFZ2JvZEJ0TnBEODV3anRyMi16RUU2V0xBaFZrNHEyZktaR1RfWXpzMXhwX0R3dUU?oc=5
2026-02-25	Google	0.136	New Zealand Freight and Logistics Market to Reach USD 22.53 - openPR.com		https://news.google.com/rss/articles/CBMimwFBVV95cUxPSWdHOTdKX1Z0a3BSZldoa0kxWEk4QnNpOHk2SzlJTXU3bFNPeG16NW93R0hBVmRxREMtVkxJUjNKZVIxU2hGa0JnVHFKd2Y4enAzVjdjbncxM1RMcGVSMW1WdWRScTJvUkZ1dDZHZ29iYUhtQ3pCdkkzS1AyMnp6QXJoVlYtRzR4UGJLZlZIdUdHdHBaeGJXYURGSQ?oc=5
2026-02-25	Google	0.136	News - NAVSUP FLC Norfolk Starts New Training Program for Logistics Support Representatives - DVIDS		https://news.google.com/rss/articles/CBMiuAFBVV95cUxPNUNhUnZ6TmNBTHJ2aGlLc0t6d0hJOTVTZkJLa2FtWFBSd2tITUFRY2RjWlVlTEQ3MXhqbGdtNjBhM3M1bVBpa09jY2hpV085MmQzVTZWcER5ZUlROTFxQ19YangyanJMMnFnM3cxNkZsLUFvbzRBNzVmZ0RSdEkwMDZ4VTBYVzR0RXFuWDA2X1VCNHZSZUtmejk1c1lNUGJZczdQUlBZRk53QTI5Q3JzMklPR1VkbFZF?oc=5
