Date	Sentiment_Daily	News_Volume
2025-06-25	-0.1670	1
2025-09-03	0.1220	1
2025-09-23	0.0000	1
2025-09-24	0.0500	2
2025-10-07	0.3330	1
2025-10-09	0.0000	1
2025-10-16	0.0000	1
2025-10-17	-0.0410	5
2025-10-20	-0.0500	1
2025-10-23	0.1000	1
2025-11-05	0.0000	1
2025-11-17	-0.0330	1
2025-11-23	0.0000	1
2025-12-03	0.0000	1
2025-12-06	0.0000	1
2025-12-19	0.0000	1
2026-01-06	0.8000	1
2026-01-15	-0.1340	1
2026-01-16	0.2000	1
2026-01-23	-0.0660	2
2026-01-28	0.0000	1
2026-01-29	0.0000	1
2026-01-31	0.0000	1
2026-02-03	0.0000	1
2026-02-04	0.0000	1
2026-02-10	0.0000	1
2026-02-11	0.0080	1
2026-02-12	-0.0333	3
2026-02-13	0.1600	1
2026-02-15	0.0000	1
2026-02-16	0.0583	6
2026-02-17	0.1967	3
2026-02-18	0.1361	18
2026-02-19	0.1158	15
2026-02-20	0.0101	60
2026-02-21	0.0424	5
2026-02-22	0.0014	34
2026-02-23	0.0481	55
2026-02-24	0.0320	21
2026-02-25	0.1130	7
2026-02-26	-0.2920	1
2026-02-27	0.0589	10
2026-02-28	0.1310	6
2026-03-01	0.1170	7
2026-03-02	0.0275	85
2026-03-03	0.0000	3
